PDB_ID,Experimental,DELTA_TOTAL,VDWAALS,EEL,EPB,ENPOLAR
4co0,-6.44601816,-21.977,-22.523,-10.684,14.422,-3.192
5y0g,-9.195753939,-37.047,-41.749,0,5.991,-1.289
3ewh,-9.778071484,-68.352,-67.386,-10.733,15.726,-5.959
3hb4,-12.41721638,-48.191,-49.956,-5.337,11.995,-4.892
3t64,-9.195753939,-36.578,-36.026,-8.122,11.287,-3.717
2etk,-9.367258794,-34.778,-35.258,-7.7,11.56,-3.381
2cgr,-9.987471027,-35.934,-37.294,-15.046,20.491,-4.085
4y5d,-8.127576679,-38.016,-37.108,-11.29,13.709,-3.327
1lpg,-9.727290037,-61.828,-62.566,-5.922,12.19,-5.53
4yi5,-7.677764856,-49.445,-54.143,-15.757,25.364,-4.909
4a6c,-10.87299991,-66.469,-70.344,-7.177,18.253,-7.2
2opb,-12.00398901,-50.728,-49.757,-23.095,26.127,-4.004
5mqx,-7.424908443,-49.094,-50.848,-15.247,22.103,-5.102
3f9n,-8.037015752,-39.041,-38.872,-5.01,8.8,-3.959
6p9e,-9.842415457,-41.156,-40.188,-7.268,10.474,-4.174
1jqe,-8.845338406,-50.663,-51.729,-1.918,8.172,-5.189
5k51,-6.590859188,-29.985,-27.275,-19.261,19.568,-3.018
5niy,-5.795380819,-27.82,-26.355,-22.946,25.087,-3.606
3h1x,-8.079858332,-19.123,-17.807,-12.012,13.445,-2.749
5zyh,-7.644131645,-52.309,-50.666,-10.131,13.972,-5.483
4ctn,-6.858969257,-51.224,-55.556,-16.497,25.2,-4.37
2clf,-4.87702744,-28.183,-27.512,-11.521,14.358,-3.508
2zhd,-8.980441512,-48.03,-47.822,-9.77,13.806,-4.243
3c2o,-4.594174058,-13.864,-13.768,-13.13,14.993,-1.959
4mc9,-12.96347325,-58.309,-60.833,-14.32,22.822,-5.978
5a6b,-11.12222141,-27.851,-24.223,-17.986,17.561,-3.203
5zyk,-9.258565778,-52.562,-52.544,-8.896,14.365,-5.487
5x4o,-5.567055744,-17.67,-17.62,-3.252,5.519,-2.317
4phv,-12.52637984,-71.627,-73.596,-19.398,28.255,-6.889
4k77,-9.099612146,-34.537,-34.631,-6.397,9.825,-3.334
1nw4,-12.44431928,-27.571,-27.691,-12.618,15.65,-2.912
4djo,-15.80701421,-63.716,-65.245,-17.982,25.675,-6.164
5drb,-11.56508103,-63.571,-64.903,-5.238,11.671,-5.1
5wf6,-10.75201448,-81.056,-81.089,-19.96,27.395,-7.403
6dy7,-5.736756782,-34.484,-34.699,-4.287,7.687,-3.185
2axa,-11.26883402,-54.686,-54.817,-9.837,14.194,-4.225
5fky,-11.43180801,-25.285,-22.278,-14.529,13.994,-2.472
5mb0,-4.528332652,-20.582,-20.98,-1.718,4.749,-2.633
5mno,-5.27761488,-21.956,-22.886,-5.135,8.177,-2.112
1mrs,-5.434026244,-33.737,-34.563,-15.664,19.718,-3.228
2c57,-4.710869357,-16.273,-15.662,-8.776,10.236,-2.071
3wjw,-5.31636823,-23.575,-22.087,-16.767,18.623,-3.345
3arx,-7.313673158,-30.594,-31.162,-4.926,9.077,-3.583
2v57,-9.749509792,-30.147,-30.435,-5.169,8.21,-2.753
4h42,-4.759528339,-28.113,-27.817,-10.44,12.844,-2.701
3skh,-8.255076547,-35.443,-36.768,-2.684,7.839,-3.83
6nng,-5.801372438,-64.298,-64.991,-5.559,11.086,-4.834
2nnq,-11.94117717,-50.832,-53.254,-7.85,15.554,-5.282
5vw8,-10.56139971,-69.456,-67.456,-37.381,41.571,-6.19
3el0,-10.2503748,-47.87,-49.922,-10.014,18.338,-6.273
1tng,-4.024535323,-24.221,-19.942,6.623,-8.818,-2.086
2bmv,-2.745423232,-5.299,-4.929,-2.196,2.882,-1.057
5u8w,-1.475667061,-66.629,-65.179,-21.847,26.226,-5.83
3oaf,-12.07420667,-34.764,-34.481,-6.401,9.734,-3.615
6i15,-5.490846463,-42.496,-41.612,-5.849,8.665,-3.7
5orj,-6.547218168,-39.437,-39.173,-1.118,4.108,-3.254
6ew6,-4.227107949,-17.276,-17.24,-1.811,3.868,-2.093
2ya8,-7.895873912,-29.194,-30.389,-9.758,14.494,-3.542
2jst,-3.548496112,-19.787,-19.858,-0.282,1.97,-1.617
6aff,-7.424908443,-7.774,-7.833,-2.862,4.209,-1.288
1qvu,-6.116709555,-36.862,-35.447,-10.9,12.884,-3.399
1amk,-5.904073835,-10.243,-8.193,-12.864,12.543,-1.729
3qyy,-6.977520533,-29.078,-25.033,-24.513,23.557,-3.089
2y71,-10.11909614,-39.079,-37.724,-13.146,15.657,-3.867
3nee,-7.326494321,-26.909,-26.049,-3.602,5.9,-3.157
3ivx,-7.885854162,-48.437,-50.539,-8.957,15.917,-4.858
4j24,-10.02220868,-42.681,-41.376,-5.236,7.306,-3.374
3lep,-9.545774729,-44.952,-44.295,-7.03,10.144,-3.771
2pdm,-10.59195834,-49.25,-50.523,-5.471,10.849,-4.104
4uiw,-10.92346368,-46.466,-45.644,-9.871,13.658,-4.61
3lbo,-10.50733167,-42.678,-42.914,-6.206,10.258,-3.815
5o0b,-5.738560599,-26.611,-26.371,-6.302,8.273,-2.212
5lvq,-5.678464761,-29.365,-28.805,-5.177,7.76,-3.143
2bb9,-12.77573811,-47.167,-47.837,-7.437,14.202,-6.095
6o57,-8.633033979,-74.652,-78.028,-24.84,36.281,-8.065
3st6,-4.968926075,-22.866,-24.819,-7.882,12.557,-2.722
5ios,-6.658511716,-24.602,-23.936,-15.014,17.513,-3.164
2pd9,-10.69434027,-33.026,-33.55,-6.124,9.617,-2.97
6fn9,-4.842756038,-29.436,-27.992,-17.519,20.284,-4.209
6oqb,-14.14034353,-64.971,-63.838,-6.529,10.598,-5.202
5mgl,-4.528332652,-19.735,-18.83,-3.059,4.386,-2.231
4jv6,-9.147119126,-42.286,-40.405,-4.085,5.967,-3.763
2ojf,-9.501511784,-49.208,-52.425,-2.079,9.936,-4.64
3ikd,-9.261887018,-29.588,-30.094,-3.443,7.45,-3.502
4i9u,-5.303168553,-29.441,-28.964,-4.968,7.726,-3.235
4bqh,-7.671234543,-41.853,-42.008,-5.567,9.589,-3.867
3az8,-8.230763109,-32.568,-36.118,-5.419,11.797,-2.829
5diu,-10.11212342,-67.239,-66.952,-12.099,18.238,-6.426
3u6i,-12.35440454,-72.671,-71.484,-13.648,18.649,-6.188
6ajx,-6.919782436,-21.794,-20.663,-5.929,7.674,-2.876
3hkw,-11.85785654,-54.998,-56.894,-5.425,13.009,-5.687
1d7j,-4.531362219,-11.515,-11.014,-3.62,4.772,-1.653
2q5k,-15.51305515,-66.723,-67.13,-15.14,22.314,-6.767
5mgg,-4.528332652,-18.479,-17.444,-3.098,4.233,-2.17
1xow,-12.74425005,-49.906,-48.305,-7.277,9.119,-3.444
5mi5,-9.2926414,-33.536,-31.646,-19.421,21.13,-3.599
4ruy,-10.83452456,-23.412,-21.807,-6.121,7.19,-2.674
2p8n,-4.330770567,-20.893,-19.405,-7.804,8.051,-1.735
4pms,-11.12222141,-57.976,-58.437,-5.782,11.522,-5.279
3f70,-6.662966427,-17.439,-17.24,-2.938,4.962,-2.223
4tqn,-8.392085195,-31.796,-30.624,-9.254,11.728,-3.646
4ovf,-5.670353601,-25.46,-25.512,-2.921,5.686,-2.714
3p7i,-10.57145384,-13.446,-12.407,-15.601,16.294,-1.733
1lke,-10.32278182,-55.475,-56.356,-7.102,12.167,-4.184
2g5u,-11.6609793,-8.901,-8.883,-1.964,3.257,-1.311
4gih,-11.41925678,-44.769,-44.814,-7.061,11.093,-3.986
5u14,-7.326494321,-43.41,-42.354,-22.382,25.357,-4.031
1n3i,-12.19799318,-29.656,-28.088,-47.917,49.428,-3.079
2kmx,-5.599777992,-27.704,-28.149,-13.508,17.66,-3.708
5yv5,-7.424908443,-23.816,-23.301,-12.33,14.616,-2.8
5cas,-12.15381289,-54.762,-54.088,-8.752,12.917,-4.838
1zlf,-8.236269695,-66.73,-70.035,-18.021,28.648,-7.321
6ekq,-7.489421171,-31.312,-31.674,-2.455,6.358,-3.54
5ti6,-6.387195955,-32.992,-31.917,-5.881,8.396,-3.591
6hhr,-9.621025379,-32.234,-31.068,-14.148,16.268,-3.286
1l5s,-4.474542,-16.651,-17.933,-5.916,9.195,-1.998
1lrt,-7.739721693,-48.002,-48.946,-19.443,25.887,-5.5
6ccl,-4.866180986,-20.507,-20.345,-2.005,4.464,-2.621
3zsq,-6.812182291,-23.45,-22.31,-6.122,7.7,-2.718
5w8v,-11.28622728,-29.351,-30.901,-24.612,29.978,-3.816
2j7g,-9.608981311,-34.663,-21.06,-75.208,64.389,-2.784
5c8m,-9.875040312,-51.605,-52.047,-9.013,14.242,-4.786
2zx6,-14.55119101,-44.03,-38.216,-19.595,17.355,-3.574
5cy9,-9.144378151,-35.708,-34.556,-5.166,7.774,-3.761
4m3g,-8.547115102,-51.891,-51.843,-6.925,10.559,-3.683
6qz6,-8.915556068,-41.275,-40.968,-3.516,7.227,-4.018
3hwx,-10.78537485,-6.434,-23.137,-21.614,41.492,-3.176
2nxe,-7.215138123,-38.652,-35.172,-30.917,31.638,-4.201
5w8j,-8.829004204,-39.101,-38.013,-13.431,16.825,-4.482
6f3s,-7.714177154,-50.363,-56.381,-12.8,23.271,-4.452
2ao6,-12.74425005,-49.967,-48.404,-7.037,8.906,-3.432
5em7,-10.59904462,-48.964,-49.953,-5.763,11.533,-4.781
5uzj,-9.310438574,-44.831,-44.86,-10.419,14.644,-4.196
6hrx,-10.92346368,-30.673,-31.34,-4.405,7.891,-2.819
1o5a,-8.813105633,-42.464,-37.166,-28.76,27.067,-3.605
5bnj,-11.94117717,-47.502,-46.589,-8.514,12.143,-4.542
6ey8,-7.974999162,-47.618,-46.126,-10.312,13.287,-4.467
5q0h,-10.87299991,-55.097,-56.246,-11.867,18.132,-5.116
6fcj,-9.812321631,-32.271,-32.078,-7.032,10.136,-3.298
3kjn,-7.125902669,-54.71,-52.155,-22.362,25.202,-5.394
1a9m,-9.505277119,-60.172,-63.168,-21.617,31.573,-6.959
4r5h,-3.26041201,-21.24,-20.115,-15.937,17.466,-2.654
6oxu,-13.75769522,-62.475,-66.91,-10.209,21.079,-6.435
2o9a,-5.224978264,-11.125,-11.972,-4.803,7.049,-1.399
2nta,-6.583360208,-39.173,-37.718,-8.113,9.599,-2.941
3uo9,-9.690354847,-63.68,-62.684,-18.173,22.89,-5.712
3w9k,-8.673833551,-42.551,-41.936,-3.608,6.86,-3.867
3r1v,-9.500288295,-36.471,-35.807,-2.068,4.99,-3.586
2py4,-9.195753939,-21.61,-21.258,-14.696,17.067,-2.722
1k1m,-10.15523818,-45.802,-46.033,-10.125,14.49,-4.133
5nqr,-9.769538963,-50.905,-50.618,-13.455,17.883,-4.715
6e1a,-12.15381289,-67.728,-69.126,-9.735,17.275,-6.142
3qgw,-8.079858332,-31.45,-32.821,-4.659,9.381,-3.351
4cmg,-8.555291133,-44.835,-45.751,-8.311,13.306,-4.079
4m13,-9.195753939,-56.572,-54.946,-9.33,11.903,-4.199
4ybi,-9.041353755,-32.501,-35.032,-1.946,7.961,-3.484
3b25,-8.326184432,-33.435,-32.797,-6,8.796,-3.434
3q7p,-7.965839016,-35.996,-31.098,-27.611,26.097,-3.385
4euo,-6.926369918,-15.951,-15.351,-8.041,9.195,-1.753
5w1e,-7.18830322,-16.522,-14.665,-9.283,9.285,-1.86
6c1i,-9.654404446,-33.908,-35.214,-3.053,7.543,-3.184
4wm9,-9.500288295,-23.852,-23.233,-10.562,12.759,-2.816
3vf8,-9.317589912,-39.402,-39.262,-9.594,13.37,-3.917
2i80,-7.409814951,-41.298,-41.941,-2.56,6.426,-3.223
6i8t,-7.899251604,-46.176,-45.14,-8.479,11.836,-4.393
3ueu,-7.187276242,-31.786,-29.2,-5.07,6.015,-3.531
3dla,-4.743997939,-43.885,-41.508,-74.438,77.069,-5.007
5ncf,-6.858969257,-43.679,-40.619,-11.917,13.445,-4.588
4hiq,-11.26667927,-20.469,-19.159,-3.846,5.284,-2.748
4n7u,-8.637691511,-8.048,-6.998,-7.93,8.46,-1.58
3v66,-12.13331463,-60.616,-60.613,-6.358,12.16,-5.804
6ma2,-7.395094177,-42.04,-40.248,-12.946,15.39,-4.235
6uvy,-8.19855761,-36.808,-38.649,-1.895,7.438,-3.701
2xkf,-8.275180167,-40.942,-39.958,-8.139,11.361,-4.207
5km9,-5.837577209,-22.165,-20.925,-10.43,12.099,-2.909
4lvt,-14.21655281,-83.323,-84.397,-3.482,12.207,-7.651
4rwl,-11.11472243,-59.734,-59.352,-7.653,12.409,-5.139
6mh1,-8.127576679,-42.485,-42.074,-2.453,6.459,-4.417
5ep7,-7.409814951,-29.509,-28.427,-7.833,9.952,-3.2
3muf,-8.915556068,-18.248,-16.708,-18.383,19.568,-2.724
2pdw,-10.19489518,-31.862,-31.919,-6.821,9.838,-2.96
3vw1,-6.415593052,-56.091,-55.517,-25.045,29.725,-5.254
1kel,-9.99882682,-31.59,-27.338,-22.089,21.491,-3.654
4yv5,-8.540804051,-41.552,-42.145,-8.854,14.367,-4.92
6iyv,-8.070756459,-35.683,-36.781,-7.968,13.28,-4.214
3ppq,-6.249739055,-23.844,-26.221,0,2.732,-0.355
1kyv,-8.127576679,-23.971,-26.526,0,2.296,0.258
3uvq,-10.66535302,-66.495,-65.478,-10.236,15.066,-5.847
2j4z,-9.81348499,-51.622,-51.454,-9.722,14.266,-4.712
1swn,-12.34614466,-36.957,-34.479,-16.483,17,-2.995
4rvm,-12.28889664,-40.601,-41.257,-5.929,10.62,-4.034
1ky8,-8.230763109,-73.828,-72.544,-36.503,41.603,-6.385
3r3c,-9.132823632,-33.798,-32.636,-13.665,16.89,-4.387
2ntf,-8.954031422,-56.04,-53.776,-11.633,13.627,-4.258
6udt,-13.72711616,-64.443,-63.042,-6.357,10.129,-5.174
6h9x,-13.37670063,-47.275,-45.873,-27.439,30.126,-4.089
4a6l,-10.98169293,-41.922,-43.704,-2.087,8.018,-4.15
6mxd,-7.185227576,-28.363,-28.985,-22.555,26.445,-3.267
5j1r,-6.393510488,-37.689,-36.955,-3.707,5.746,-2.772
4rcf,-11.46682409,-40.918,-42.467,-4.454,10.681,-4.678
2bqv,-11.04450477,-63.376,-67.213,-17.048,27.335,-6.449
3c7i,-7.741653683,-33.341,-30.965,-16.718,18.377,-4.034
4r54,-3.645648226,-19.551,-18.866,-14.071,15.919,-2.533
1rwx,-10.11212342,-57.766,-55.362,-18.03,21.19,-5.563
5kgh,-7.576251105,-64.504,-62.609,-26.256,30.859,-6.499
2o2u,-8.782526567,-42.722,-42.219,-3.878,7.078,-3.704
1fkh,-11.19432865,-32.069,-31.712,-4.436,7.974,-3.894
5cc2,-5.623875964,-24.036,-23.848,-6.517,8.93,-2.601
5k4x,-8.766375088,-29.972,-33.074,-3.609,10.093,-3.382
6pg4,-4.921207728,-15.526,-14.855,-7.01,8.149,-1.81
6b4l,-8.879414028,-47.983,-47.498,-3.218,6.726,-3.993
2o64,-8.83233189,-31.889,-29.799,-11.915,13.174,-3.349
3hky,-9.742010811,-56.119,-57.658,-7.835,14.875,-5.501
4h5d,-8.561014836,-37.078,-36.237,-20.67,24.23,-4.4
3g1o,-6.035509168,-52.242,-52.712,-3.685,8.319,-4.164
1ru1,-6.513142546,-18.69,-16.94,-11.22,11.778,-2.308
3m94,-6.967500783,-26.586,-27.138,-6.556,10.808,-3.699
3a2o,-12.46548699,-65.168,-64.979,-22.723,28.919,-6.385
6nv7,-10.86805249,-72.497,-74.287,-18.654,27.166,-6.723
6t1n,-7.489421171,-34.296,-33.725,-5.952,8.811,-3.43
4eeh,-5.935246904,-28.068,-28.335,-7.077,10.265,-2.921
4clh,-6.948823879,-29.392,-30.032,-7.815,11.207,-2.752
5tbe,-12.31966689,-65.189,-70.142,0,6.369,-1.417
3ai8,-5.231888129,-15.78,-15.471,-11.63,13.189,-1.869
3lt2,-8.807213387,-37.295,-38.318,-3.952,8.167,-3.192
5d3x,-8.725706348,-15.319,-13.696,-20.276,21.331,-2.677
3wha,-12.7919684,-45.852,-46.279,-8.239,12.982,-4.316
3eeb,-8.079858332,-23.038,-19.113,-35.974,36.183,-4.133
3sm2,-13.31388879,-58.222,-61.398,-15.86,24.839,-5.802
3vrv,-14.38838909,-68.337,-65.182,-9.722,12.169,-5.603
3znn,-11.59979547,-25.768,-25.127,-9.129,10.507,-2.02
3jxw,-12.35440454,-38.463,-38.168,-7.889,11.69,-4.096
4u5l,-3.291680104,-19.33,-20.277,-2.511,5.839,-2.382
5l8j,-7.770888708,-41.051,-44.309,0,4.262,-1.004
4b05,-10.40976566,-38.243,-39.335,-4.634,10.206,-4.48
4n9i,-6.298948183,-26.732,-26.29,-12.512,15.244,-3.175
6f92,-8.782526567,-19.732,-16.769,-13.734,13.099,-2.328
1a4k,-10.98169293,-48.566,-48.586,-9.253,13.716,-4.443
6oot,-15.51305515,-60.601,-63.774,-14.124,23.257,-5.959
2nw4,-11.90925825,-44.536,-45.645,-7.468,11.853,-3.276
4fht,-8.475018834,-9.534,-9.461,-5.076,6.694,-1.691
1ejn,-7.714349307,-41.668,-40.284,-13.697,16.051,-3.737
5ayy,-7.301121935,-12.938,-12.673,-15.129,16.861,-1.997
4rww,-8.035678043,-28.897,-28.697,-9.64,12.853,-3.414
6rnt,-3.24856534,-13.807,-10.667,-18.118,17.342,-2.364
2ybu,-8.75343977,-34.416,-37.642,-9.43,16.74,-4.084
4f6u,-8.448905415,-62.521,-62.581,-4.217,9.71,-5.432
4h3j,-9.67179315,-42.385,-43.279,-4.485,10.243,-4.864
2g70,-10.66535302,-53.547,-47.473,-40.296,38.498,-4.277
3fqe,-11.3949203,-48.464,-52.37,0,5.068,-1.163
3tud,-11.8489278,-71.175,-70.504,-12.384,17.508,-5.794
5v83,-7.038673042,-39.456,-38.909,-4.614,8.081,-4.014
3u8w,-12.28889664,-58.191,-59.639,-6.901,13.321,-4.972
3q1x,-7.313673158,-11.326,-2.998,-43.403,36.455,-1.38
6bed,-6.480909773,-46.198,-45.365,-3.409,8.457,-5.881
3b9g,-6.480909773,-8.793,-26.864,-2.49,23.45,-2.889
3p9t,-8.511717254,-32.575,-32.681,-1.56,4.887,-3.221
2mas,-10.32674304,-6.609,-25.368,-4.736,26.293,-2.798
3vhd,-12.74425005,-42.425,-42.149,-11.055,14.967,-4.188
1qbu,-14.0518613,-61.323,-59.98,-16.951,21.731,-6.123
5egu,-8.035678043,-44.697,-45.136,-4.411,9.52,-4.671
3ns9,-11.63741955,-52.095,-51.477,-13.926,17.856,-4.548
6boe,-7.601530592,-38.82,-38.7,-6.022,9.559,-3.658
4rls,-8.798436951,-46.201,-45.799,-12.059,15.587,-3.93
6coj,-8.782526567,-65.749,-66.583,-16.947,25.37,-7.589
2fs9,-11.69945465,-47.129,-48.545,-5.515,12.131,-5.2
5htz,-11.83248415,-43.888,-45.044,-8.013,13.475,-4.307
1lpk,-10.3678739,-50.675,-51.537,-8.774,14.321,-4.685
2b55,-9.582238164,-51.517,-51.567,-8.398,13.411,-4.963
2vfk,-5.095777686,-23.19,-23.334,-12.406,15.836,-3.286
1czc,-3.876412331,-10.044,-8.588,-8.285,8.694,-1.866
3kqy,-6.621835562,-23.682,-23.375,-10.299,11.948,-1.957
6p89,-6.877429929,-46.436,-46.84,-6.685,11.421,-4.333
5xp7,-6.067682401,-27.678,-32.584,-7.155,16.056,-3.996
5fto,-11.26667927,-57.166,-58.659,-5.03,11.862,-5.338
5f74,-7.027166645,-21.623,-22.378,-8.065,11.867,-3.048
3fur,-10.98169293,-62.652,-62.879,-6.407,11.217,-4.583
3npc,-11.44462917,-84.602,-84.467,-6.36,12.828,-6.602
4x2i,-8.815142281,-37.054,-35.847,-3.405,5.85,-3.652
5vc3,-9.76093815,-53.009,-55.245,-3.282,10.905,-5.387
4z0g,-4.419712305,-33.549,-30.058,-25.043,25.186,-3.634
5z99,-9.438968725,-33.008,-35.28,-14.626,20.388,-3.49
1o2r,-7.158238308,-46.03,-40.786,-25.533,24.179,-3.89
4br3,-7.853621389,-46.929,-47.789,-11.55,16.943,-4.533
5lwm,-12.17992631,-48.925,-48.399,-6.932,10.928,-4.521
3ao5,-3.059977337,-18.813,-18.672,-2.323,4.399,-2.218
1ghz,-6.583360208,-29.217,-27.143,8.821,-8.28,-2.615
4p8l,-9.752833633,-40.398,-42.59,-6.284,12.501,-4.025
4yi3,-7.277907968,-54.81,-57.69,-16.538,24.569,-5.151
2j9l,-5.490846463,-37.801,-34.213,-44.324,44.986,-4.249
5cau,-12.07420667,-53.204,-51.922,-11.366,15.012,-4.928
6f4w,-7.591339556,-29.142,-28.909,-11.954,14.753,-3.033
3igg,-9.588447645,-38.192,-38.13,-7.158,10.819,-3.724
4o3f,-7.626724246,-45.354,-44.851,-3.202,6.64,-3.94
1q6p,-11.63741955,-45.749,-40.248,-20.731,20.02,-4.79
6b4u,-10.53937876,-59.829,-59.396,-4.301,8.942,-5.074
4io8,-9.117639989,-49.141,-48.87,-13.393,17.785,-4.664
5aiv,-8.493085703,-44.129,-44.653,-8.978,13.455,-3.953
1awh,-8.347352138,-45.506,-46.875,-6.404,12.867,-5.095
3lfs,-7.684871452,-40.757,-41.692,-8.022,12.897,-3.94
2pyn,-10.38955488,-50.883,-52.562,-8.926,16.748,-6.143
6nm4,-9.692003935,-42.466,-44.98,-0.681,7.55,-4.355
4efg,-9.965388463,-44.831,-44.279,-4.213,8.05,-4.389
4co2,-6.44601816,-29.861,-32.575,0,3.111,-0.397
2otz,-4.729028545,-22.172,-21.524,-0.599,1.796,-1.845
3h5b,-13.73310778,-61.222,-64.847,-15.362,25.328,-6.342
2z7h,-9.52566068,-34.787,-34.921,-21.504,26.143,-4.504
1hfq,-11.7544025,-49.127,-49.927,-13.31,18.846,-4.737
5hv1,-5.628364023,-74.413,-75.878,-5.751,14.296,-7.081
2fw6,-4.009441831,-14.956,-13.031,-15.213,15.377,-2.09
4cd1,-6.716389708,-37.189,-36.692,-8.477,11.786,-3.805
1sgu,-7.375780731,-63.369,-65.008,-12.867,21.44,-6.934
1rnm,-4.219104173,-22.134,-21.561,-14.24,16.434,-2.767
5in9,-8.725706348,-39.26,-36.649,-14.351,15.894,-4.154
6czc,-6.565015343,-12.661,-16.237,-13.611,20.039,-2.852
5hdu,-12.35440454,-44.57,-46.531,-5.376,12.442,-5.104
2clh,-5.569771745,-37.03,-39.257,-10.278,16.06,-3.554
1pb9,-4.966447232,-17.142,-14.735,-12.912,11.985,-1.48
4pxm,-12.19799318,-42.721,-44.394,0,2.688,-1.015
1afl,-8.626115204,-25.765,-24.776,-13.896,16.165,-3.258
3hav,-5.174506552,-32.486,-34.682,-16.009,22.92,-4.715
6ift,-6.42124391,-57.713,-52.718,-40.789,40.036,-4.242
5wb6,-14.6866004,-69.289,-70.269,-14.657,21.484,-5.847
6ox0,-6.662966427,-43.791,-44.238,-15.885,20.481,-4.15
1ec9,-4.251164348,-27.127,-12.627,-25.579,13.1,-2.023
1q6j,-10.64475153,-50.62,-45.723,-19.394,19.219,-4.722
5kit,-10.76788167,-45.46,-45.79,-9.04,14.458,-5.089
4a4w,-10.59904462,-60.106,-59.808,-5.978,11.283,-5.603
6kjd,-6.933031005,-54.056,-55.648,-8.185,14.923,-5.146
5zyj,-9.90366154,-54.044,-53.16,-10.044,14.852,-5.692
1gja,-7.440394017,-24.682,-25.77,-9.066,12.852,-2.698
4f2p,-15.50268346,-50.502,-48.57,-14.214,16.004,-3.722
3crz,-6.337397814,-42.838,-45.568,-19.525,27.526,-5.272
4k3m,-4.874477923,-28.882,-25.187,-4.234,4.092,-3.553
2cm7,-9.118061876,-51.477,-47.653,-19.44,19.842,-4.226
4rfw,-11.03712066,-49.111,-45.925,-8.485,9.549,-4.249
3kfc,-11.67833233,-58.927,-59.412,-6.461,11.851,-4.905
5vc6,-10.79838252,-53.993,-54.222,-7.181,12.392,-4.982
1sr7,-13.86014566,-69.547,-69.486,-5.897,10.666,-4.83
1laf,-10.78110127,-38.673,-22.703,-52.287,38.667,-2.35
6bz2,-14.89923612,-71.485,-74.405,-16.974,26.507,-6.614
5oir,-7.134232658,-44.313,-44.043,-7.067,10.447,-3.65
4zyx,-11.19432865,-47.406,-45.992,-18.26,21.434,-4.589
3ew2,-9.152639175,-36.637,-32.089,-16.872,15.378,-3.054
6cyg,-5.725163157,-32.43,-33.397,-8.192,12.787,-3.629
2ntv,-10.91756858,-81.432,-84.299,-17.67,28.371,-7.833
4hra,-13.86014566,-74.861,-76.371,-20.57,28.597,-6.518
6o4x,-10.15523818,-32.058,-31.181,-43.225,45.104,-2.756
2y5g,-9.383372237,-58.694,-60.363,-9.446,15.703,-4.588
6h8s,-6.072407613,-28.242,-27.592,-6.206,8.881,-3.326
6gjn,-8.540804051,-49.324,-46.933,-11.896,14.134,-4.629
2hxm,-7.168092435,-33.493,-31.241,-13.274,14.522,-3.5
1atr,-9.552161091,-39.998,-41.846,-21.108,27.165,-4.209
3uqg,-6.858969257,-29.086,-29.026,-4.367,7.421,-3.114
2lha,-7.12961708,-20.844,-20.467,-19.945,22.508,-2.94
3g34,-4.061314628,-19.813,-20.955,-4.386,7.956,-2.428
5o0j,-6.552501757,-26.042,-26.288,-6.868,10.453,-3.339
3t3v,-11.69945465,-49.582,-49.428,-5.34,9.372,-4.186
5l8a,-6.740144288,-42.786,-41.66,-6.992,10.49,-4.625
5hk2,-11.78476581,-51.061,-54.397,-5.263,12.882,-4.283
6bh5,-9.062724439,-39.411,-41.054,-9.405,15.56,-4.513
2wva,-14.6866004,-38.07,-37.706,-17.061,20.508,-3.812
5g42,-3.158650603,-24.367,-23.638,-2.67,4.58,-2.64
6qux,-4.115381554,-35.503,-35.311,-9.076,12.227,-3.342
3hl8,-6.170132836,-30.004,-29.14,-3.62,5.549,-2.794
3ekt,-14.53018904,-54.006,-56.204,-15.774,23.691,-5.718
5ngf,-7.011681071,-61.654,-62.593,-16.886,23.904,-6.079
3l08,-14.03165051,-55.864,-56.844,-8.079,14.043,-4.984
3myg,-14.6866004,-48.491,-48.523,-10.872,15.391,-4.486
3uz5,-9.913515666,-23.086,-23.81,-2.856,5.707,-2.126
4f3k,-13.94832988,-48.318,-46.759,-14.119,16.289,-3.73
3hvj,-11.94117717,-58.946,-55.704,-21.244,23.572,-5.57
5vl2,-11.56325408,-45.714,-44.545,-5.88,8.058,-3.347
5aqz,-7.524499587,-33.006,-32.45,-12.184,15.036,-3.407
3nu5,-11.45773214,-51.921,-53.569,-16.362,23.604,-5.594
6g27,-4.304937045,-29.233,-29.783,-2.797,6.475,-3.128
6chp,-13.89862101,-45.769,-44.977,-6.592,10.25,-4.45
3o9f,-17.43202363,-63.562,-66.701,-15.128,24.592,-6.324
4ub7,-11.80025301,-41.533,-41.672,-4.804,8.618,-3.676
1gcz,-7.043065216,-7.405,-7.337,-5.893,7.233,-1.408
1bux,-6.662966427,-34.156,-34.538,-11.086,15.371,-3.903
2nt7,-8.954031422,-42.641,-43.264,-16.489,21.793,-4.681
4arw,-9.788488448,-38.218,-39.06,-7.505,12.141,-3.795
5v6u,-3.105091072,-26.059,-25.47,-6.335,9.001,-3.254
5u0y,-8.347352138,-24.375,-22.293,-22.109,22.728,-2.701
5km2,-6.050670166,-23.208,-20.156,-15.495,15.598,-3.155
4dlj,-8.127576679,-56.701,-57.326,-4.482,9.451,-4.344
6v2f,-13.19636707,-66.965,-65.563,-14.147,18.827,-6.081
4gny,-5.795380819,-36.973,-34.669,-5.126,6.884,-4.063
5brh,-7.390149982,-22.638,-21.276,-16.597,18.369,-3.135
3djk,-14.53018904,-60.99,-64.43,-14.74,24.129,-5.95
